Postcode,Month,Capacity (kW)
2602,2024-06,85
2602,2024-07,223
2602,2024-08,164
2602,2024-09,299
2602,2024-10,234
2602,2024-11,242
2602,2024-12,274
2602,2025-01,195
2602,2025-02,166
2602,2025-03,201
2602,2025-04,276
2602,2025-05,133
2602,2025-06,127
2602,2025-07,278
2602,2025-08,209
2602,2025-09,299
2602,2025-10,256
2602,2025-11,341
2602,2025-12,267
2603,2007-01,0
2603,2007-02,0
2603,2007-03,0
2603,2007-04,0
2603,2007-05,0
2603,2007-06,0
2603,2007-07,0
2603,2007-08,0
2603,2007-09,0
2603,2007-10,0
2603,2007-11,0
2603,2007-12,0
2603,2008-01,0
2603,2008-02,0
2603,2008-03,6
2603,2008-04,0
2603,2008-05,3
2603,2008-06,2
2603,2008-07,1
2603,2008-08,1
2603,2008-09,2
2603,2008-10,0
2603,2008-11,0
2603,2008-12,0
2603,2009-01,0
2603,2009-02,0
2603,2009-03,0
2603,2009-04,2
2603,2009-05,0
2603,2009-06,0
2603,2009-07,0
2603,2009-08,1
2603,2009-09,3
2603,2009-10,2
2603,2009-11,0
2603,2009-12,3
2603,2010-01,1
2603,2010-02,11
2603,2010-03,3
2603,2010-04,7
2603,2010-05,2
2603,2010-06,14
2603,2010-07,37
2603,2010-08,7
2603,2010-09,13
2603,2010-10,40
2603,2010-11,4
2603,2010-12,2
2603,2011-01,3
2603,2011-02,53
2603,2011-03,40
2603,2011-04,22
2603,2011-05,33
2603,2011-06,103
2603,2011-07,27
2603,2011-08,27
2603,2011-09,8
2603,2011-10,8
2603,2011-11,13
2603,2011-12,0
2603,2012-01,0
2603,2012-02,6
2603,2012-03,0
2603,2012-04,0
2603,2012-05,0
2603,2012-06,19
2603,2012-07,9
2603,2012-08,35
2603,2012-09,0
2603,2012-10,14
2603,2012-11,0
2603,2012-12,13
2603,2013-01,20
2603,2013-02,4
2603,2013-03,18
2603,2013-04,9
2603,2013-05,7
2603,2013-06,31
2603,2013-07,28
2603,2013-08,45
2603,2013-09,48
2603,2013-10,0
2603,2013-11,20
2603,2013-12,2
2603,2014-01,5
2603,2014-02,14
2603,2014-03,0
2603,2014-04,12
2603,2014-05,5
2603,2014-06,0
2603,2014-07,13
2603,2014-08,13
2603,2014-09,33
2603,2014-10,13
2603,2014-11,21
2603,2014-12,9
2603,2015-01,14
2603,2015-02,0
2603,2015-03,26
2603,2015-04,0
2603,2015-05,11
2603,2015-06,5
2603,2015-07,12
2603,2015-08,13
2603,2015-09,0
2603,2015-10,4
2603,2015-11,0
2603,2015-12,10
2603,2016-01,5
2603,2016-02,93
2603,2016-03,11
2603,2016-04,5
2603,2016-05,0
2603,2016-06,15
2603,2016-07,5
2603,2016-08,5
2603,2016-09,0
2603,2016-10,5
2603,2016-11,11
2603,2016-12,23
2603,2017-01,6
2603,2017-02,15
2603,2017-03,18
2603,2017-04,5
2603,2017-05,54
2603,2017-06,7
2603,2017-07,20
2603,2017-08,115
2603,2017-09,64
2603,2017-10,22
2603,2017-11,57
2603,2017-12,53
2603,2018-01,34
2603,2018-02,25
2603,2018-03,53
2603,2018-04,16
