,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
38,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-08,31607.320827524414,7873.51,9362.314106152262,10750.882485974063,7973.74572633046,2020-02-08 05:30:00,2020-02-08 04:30:00,7712.86,8396.564128171434,9569.916510436791,7223.211745906077,2020-02-08 09:30:00,2020-02-08 12:00:00,936179.7281828948,-1.5831121075695136,780.3336849887631,0.10524146821035722
39,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-09,31501.640642261493,7920.61,8246.85175635964,9598.144449165191,6895.559063554088,2020-02-09 05:30:00,2020-02-09 04:30:00,7713.81,7649.824833504907,8791.022759885718,6508.626907124095,2020-02-09 09:30:00,2020-02-09 12:00:00,61452.15914472821,0.8764448471698364,201.0963483039715,0.028846160998527853
40,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-10,31700.029244601643,9346.36,8780.714847541021,9974.535392350946,7596.578591677741,2020-02-10 04:30:00,2020-02-10 04:30:00,8325.51,7819.254753021683,8859.322048439297,6779.6585106240245,2020-02-10 10:00:00,2020-02-10 12:00:00,213255.2214872658,0.8125100207796152,418.26968988546906,0.05282360249416387
41,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-11,31744.034351826234,10020.15,9260.934531858009,10453.709811723857,8068.159251992161,2020-02-11 04:30:00,2020-02-11 04:30:00,8605.99,8423.075218298676,9472.549726825036,7373.600709772316,2020-02-11 12:00:00,2020-02-11 12:00:00,218871.69089468662,0.8271916825398969,384.063926934773,0.04330292462949089
42,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-12,31577.545243611286,9397.17,9121.093020323824,10530.380969034724,7734.837733141038,2020-02-12 04:30:00,2020-02-12 04:30:00,8879.56,8542.543825618228,9687.963649819507,7497.574617229968,2020-02-12 11:00:00,2020-02-12 09:30:00,57514.92698246829,0.9326424309393658,206.1370874264533,0.024346164194670852
43,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-13,31659.126918280363,9502.26,9358.035265648603,10747.999427690227,7968.071103606979,2020-02-13 04:30:00,2020-02-13 04:30:00,9178.99,8695.518749115898,9867.182378668938,7523.855119562857,2020-02-13 11:30:00,2020-02-13 12:00:00,120918.11938758682,0.8811054263291351,277.8268799622652,0.03174101117540457
44,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-14,31454.21117538847,9197.97,9517.252523812465,10838.210223307147,8196.294824317783,2020-02-14 04:30:00,2020-02-14 04:30:00,8526.99,8639.266478595982,9755.901576801074,7522.631380390891,2020-02-14 09:00:00,2020-02-14 12:00:00,85643.90410047499,0.8601709698158146,249.83779164389793,0.03005437782947766
45,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-15,31483.482593463526,8881.07,9200.098986033332,10510.841499884158,7889.356472182506,2020-02-15 05:30:00,2020-02-15 04:30:00,7593.58,8314.648958783793,9431.788891725851,7205.155021536679,2020-02-15 12:00:00,2020-02-15 12:00:00,248021.83218024034,0.5842456513593159,400.95325423543346,0.05367084975573874
46,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-16,31409.060206781858,8594.98,8955.880462362078,10275.543621186072,7636.217303538085,2020-02-16 05:00:00,2020-02-16 04:30:00,7416.78,8119.106056580458,9233.795221125954,7006.047350671382,2020-02-16 12:00:00,2020-02-16 12:00:00,249778.41859885328,0.5896680470769355,391.3464507056992,0.05360613029481962
47,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-17,31562.560861923255,9255.9,9009.122224096616,10242.54724387917,7778.217840627051,2020-02-17 04:30:00,2020-02-17 05:30:00,8960.3,8110.616742305167,9157.083966741233,7133.235492319895,2020-02-17 11:00:00,2020-02-17 12:00:00,237322.37080485505,0.751649990136859,412.8452616392246,0.049603810672419646
