,label,value,std_error,z_score,p_value,significance,eval_date
0,ar1,0.9921427535047175,0.0008724530455570836,1137.18756391206,0.0,***,2020-10-25
1,ma1,0.2902471906925689,0.015470343571684319,18.761521962822737,0.0,***,2020-10-25
2,sar1,0.9996433480882265,2.5039635012784237e-05,39922.44086536599,0.0,***,2020-10-25
8,solar_power,-0.745190546570953,0.019611427110096266,-37.99777254289247,0.0,***,2020-10-25
4,intercept,3076.488729770713,0.01928791846597919,159503.40806329867,0.0,***,2020-10-25
5,rainfall,-35.26676009969931,0.01943419990670526,-1814.6751741259718,0.0,***,2020-10-25
6,pv_capacity,64.31078695810783,0.019514699843965227,3295.5047975280772,0.0,***,2020-10-25
3,sma1,-0.8872489629937761,0.013992933929231063,-63.40692863133758,0.0,***,2020-10-25
10,temp_9,9.174349688661266,0.020528497899692057,446.90798778798563,0.0,***,2020-10-26
17,temp_1^2,1.5145648248062749,0.025778597688377838,58.75280118472501,0.0,***,2020-10-26
16,temperature^2,-0.4179374168454726,0.022530907103608607,-18.54951577952823,0.0,***,2020-10-26
15,cos_336_1,6.189530240528567,0.01989946147425214,311.0400876193149,0.0,***,2020-10-26
14,sin_336_1,17.967558390815135,0.020006911581808225,898.0675661681125,0.0,***,2020-10-26
13,lag_48*7,0.2471675638457853,0.018156356476701985,13.613279964124283,0.0,***,2020-10-26
12,solar_16,0.15655088480397666,0.04500021792247854,3.4788917038949774,0.0005034920125652764,***,2020-10-26
11,solar_4,-0.8283381203351272,0.021901458500521494,-37.82113964307006,0.0,***,2020-10-26
9,temp_1,-59.746746691017044,0.04198093013194713,-1423.1877784325286,0.0,***,2020-10-26
18,temp_9^2,-0.20496246421284836,0.03379782689681484,-6.0643681275308365,1.3247341001942914e-09,***,2020-10-26
7,temperature,13.017570827250836,0.04712689874111339,276.2237952206759,0.0,***,2020-10-26
0,ar1,0.997351918978293,0.0006108246081520551,1632.7959051872679,0.0,***,2020-10-26
1,ma1,0.31726547880608136,0.012904144595927355,24.586323909158047,0.0,***,2020-10-26
2,sar1,0.9931296063293937,0.0008018196273013419,1238.5947818113877,0.0,***,2020-10-26
8,solar_power,-0.7109674696368558,0.041723007343837416,-17.04017794733263,0.0,***,2020-10-26
4,intercept,6164.6638864237575,0.01928790190497096,319612.9841802531,0.0,***,2020-10-26
5,rainfall,4.890982588560661,0.0401495938290112,121.81898052045912,0.0,***,2020-10-26
6,pv_capacity,42.86505596226556,0.10474106664350906,409.247846483736,0.0,***,2020-10-26
3,sma1,-0.8349212923260816,0.01258342664798846,-66.35086893914934,0.0,***,2020-10-26
10,temp_9,11.05952767256619,0.019291582374078697,573.2825570299728,0.0,***,2020-10-27
17,temp_1^2,1.2399817835716038,0.01965289061418539,63.09411719193049,0.0,***,2020-10-27
16,temperature^2,0.3402911019769337,0.02317864029538901,14.681236588525373,0.0,***,2020-10-27
15,cos_336_1,3.114799753701808,0.019288081716830358,161.48831176839644,0.0,***,2020-10-27
14,sin_336_1,23.974267958096533,0.01930340843101614,1241.9707143312264,0.0,***,2020-10-27
13,lag_48*7,0.23870893375372404,0.01751244666241614,13.630815748094337,0.0,***,2020-10-27
12,solar_16,0.051378387844582166,0.01992467396945628,2.5786312952143238,0.009919259667189095,**,2020-10-27
11,solar_4,-0.7619094741547441,0.019596722713626957,-38.87943332611099,0.0,***,2020-10-27
18,temp_9^2,-0.2652452162413383,0.01955297447704852,-13.565466295303859,0.0,***,2020-10-27
9,temp_1,-48.754717638837406,0.019308828663240716,-2524.996129446964,0.0,***,2020-10-27
7,temperature,-16.730531818580914,0.01929079910515275,-867.280392449478,0.0,***,2020-10-27
6,pv_capacity,67.40227860015028,0.0195374798549684,3449.8962558372036,0.0,***,2020-10-27
5,rainfall,3.0592953965554273,0.019337321586135714,158.20678075441697,0.0,***,2020-10-27
4,intercept,6494.573351149341,0.019287917953854945,336717.18050062086,0.0,***,2020-10-27
3,sma1,-0.8665304708537858,0.011400278154510524,-76.00959021433549,0.0,***,2020-10-27
2,sar1,0.9978947398460035,0.0002909637396459885,3429.6188970492617,0.0,***,2020-10-27
1,ma1,0.33813399264058336,0.0149631123084212,22.597838315380578,0.0,***,2020-10-27
0,ar1,0.9960905089694078,0.0006166237086415957,1615.3944374986272,0.0,***,2020-10-27
8,solar_power,-0.7345531184370913,0.023425697705770212,-31.35672318763664,0.0,***,2020-10-27
11,solar_4,-0.7587392086696498,0.0698646655060405,-10.86012797991639,0.0,***,2020-10-28
12,solar_16,0.14298788583337296,0.07256756286892753,1.9704104723985223,0.04879134632958082,*,2020-10-28
13,lag_48*7,0.24592506925422697,0.017671751663693613,13.916281415354929,0.0,***,2020-10-28
10,temp_9,3.1976790839683744,0.30215792047073053,10.582807423967983,0.0,***,2020-10-28
15,cos_336_1,1.7680511523595739,0.9828309874836694,1.7989371263988068,0.072028626916804,.,2020-10-28
16,temperature^2,0.6292782688555265,0.0437873395326062,14.371237795503312,0.0,***,2020-10-28
17,temp_1^2,0.7895453475483398,0.056840660931812746,13.890502583977604,0.0,***,2020-10-28
14,sin_336_1,15.60976756703347,0.18709526715419036,83.43218834161652,0.0,***,2020-10-28
9,temp_1,-31.094310719132558,1.5046946216134418,-20.664864665888818,0.0,***,2020-10-28
18,temp_9^2,-0.05998365964670237,0.042782418619475196,-1.4020633143773902,0.16089634078282522,,2020-10-28
7,temperature,-28.73309941262505,0.4727661273916018,-60.77656106869273,0.0,***,2020-10-28
0,ar1,0.9999009285562087,2.1323174472385872e-08,46892686.164112635,0.0,***,2020-10-28
1,ma1,0.36240336233660686,0.013993896439008092,25.897244839286127,0.0,***,2020-10-28
2,sar1,0.9905825285657996,6.6263216004593925e-06,149492.06940048368,0.0,***,2020-10-28
8,solar_power,-0.666442873222735,0.07062184656106144,-9.436780623493208,0.0,***,2020-10-28
4,intercept,5887.191693019497,0.023381248956981324,251791.15554738836,0.0,***,2020-10-28
5,rainfall,-0.04394310578734917,1.9119856441575442,-0.022982968476581475,0.9816638585484418,,2020-10-28
6,pv_capacity,-2.55892622791589,3.4071721998650073,-0.7510410621503883,0.4526279440197811,,2020-10-28
3,sma1,-0.8187410372067588,0.010581691423794237,-77.37336163155531,0.0,***,2020-10-28
17,temp_1^2,1.1010131293299528,0.02471739178506597,44.54406593155089,0.0,***,2020-10-29
16,temperature^2,0.690616281293567,0.02181110046505825,31.66352300288314,0.0,***,2020-10-29
15,cos_336_1,2.68389758664533,0.01928807591604069,139.1480206905086,0.0,***,2020-10-29
14,sin_336_1,26.35938449566896,0.01934712154210937,1362.4447666955143,0.0,***,2020-10-29
13,lag_48*7,0.21462518645180495,0.018820134251425927,11.404019949302096,0.0,***,2020-10-29
12,solar_16,0.11908522398980509,0.019763420461734994,6.0255371391997805,1.68548908163757e-09,***,2020-10-29
11,solar_4,-0.7486875738360252,0.019296116179202575,-38.79991014165656,0.0,***,2020-10-29
10,temp_9,11.346673959755094,0.019293023645493963,588.1231562376278,0.0,***,2020-10-29
9,temp_1,-43.309887204721036,0.019298320098698116,-2244.230947731184,0.0,***,2020-10-29
18,temp_9^2,-0.2710653008505505,0.026064882359265778,-10.39963645775634,0.0,***,2020-10-29
7,temperature,-31.664597848118575,0.019291327136615626,-1641.3903317215559,0.0,***,2020-10-29
0,ar1,0.9931996821910446,0.001426807073383178,696.0994942616986,0.0,***,2020-10-29
1,ma1,0.354719221711974,0.014182237937511498,25.011512518327923,0.0,***,2020-10-29
2,sar1,0.9993839557699141,0.00010180924911824922,9816.239334101674,0.0,***,2020-10-29
8,solar_power,-0.6411494643682261,0.020149034622767677,-31.82035647721556,0.0,***,2020-10-29
4,intercept,4348.469228867867,0.019287920182706964,225450.3952565393,0.0,***,2020-10-29
5,rainfall,0.726845647299939,0.01930332905238067,37.65390132073086,0.0,***,2020-10-29
6,pv_capacity,34.725555005083635,0.019816944162960863,1752.316336945023,0.0,***,2020-10-29
3,sma1,-0.8764011982887517,0.009933359412848912,-88.22807691374953,0.0,***,2020-10-29
10,temp_9,3.566103364784013,0.3698020218084491,9.64327709011605,0.0,***,2020-10-30
17,temp_1^2,0.828757422607293,0.04825743048069513,17.17367490046592,0.0,***,2020-10-30
