,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
210,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-29,30481.383668404622,10551.31,10975.850013901949,11857.495721180061,10094.204306623837,2020-07-29 06:00:00,2020-07-29 06:00:00,9723.19,9684.142154941641,10537.930272919364,8830.354036963918,2020-07-29 08:00:00,2020-07-29 08:30:00,546101.1045538505,0.5523905381051428,537.2487963086833,0.06671054107078601
211,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-30,30509.27850247284,10878.42,10941.801650516194,11840.2405539513,10043.362747081088,2020-07-30 06:00:00,2020-07-30 06:00:00,9850.92,9631.38639166471,10501.709141138668,8761.063642190751,2020-07-30 08:00:00,2020-07-30 08:30:00,170057.54671156566,0.8740638989347908,300.3025392921267,0.036934017690599515
212,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-31,30507.09456927396,10722.05,10998.188803792395,11846.01070946465,10150.366898120139,2020-07-31 06:00:00,2020-07-31 06:00:00,10157.27,10052.369618033686,10874.136845330098,9230.602390737275,2020-07-31 08:00:00,2020-07-31 08:00:00,123502.6800408165,0.9044230183737887,271.53596504797173,0.032674590126941135
213,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-01,30487.171985918398,10056.51,10071.001088470472,10959.242430441185,9182.759746499758,2020-08-01 06:00:00,2020-08-01 06:00:00,8973.87,8942.786418559446,9796.204945986883,8172.215559277651,2020-08-01 08:30:00,2020-08-01 08:00:00,126880.02962191789,0.8869759954393339,302.2787298816606,0.03936998103201716
214,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-02,30524.361507556187,10337.87,10407.052911366103,13012.637959418958,7801.467863313248,2020-08-02 06:00:00,2020-08-02 06:00:00,8542.46,8711.159457444213,11228.30848290977,7913.889601692818,2020-08-02 08:30:00,2020-08-02 08:30:00,167404.77137025003,0.8725769147426689,289.2573699958362,0.039737151517379304
215,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-03,30542.904723482057,10864.97,10737.770057387184,13484.982486100638,7990.5576286737305,2020-08-03 06:00:00,2020-08-03 06:00:00,10343.93,9202.379417042015,11858.436476970346,7578.6530080078055,2020-08-03 08:00:00,2020-08-03 08:00:00,213517.59184076978,0.8580227896051893,328.99917382765324,0.037510621013927554
216,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-04,30541.20059324271,10702.53,10460.001539025921,13028.137093063662,7891.865984988181,2020-08-04 06:00:00,2020-08-04 06:00:00,9907.17,9839.574793379288,12312.192009094322,7883.952024127583,2020-08-04 08:00:00,2020-08-04 08:00:00,25743.96738308859,0.9817634428750533,139.95077338700972,0.01657642171006186
217,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-05,30529.370647360473,11544.22,10578.778277859325,13115.123573277404,8042.432982441246,2020-08-05 06:30:00,2020-08-05 06:00:00,10456.54,9705.57773432578,12151.566499632114,8131.552011265566,2020-08-05 08:00:00,2020-08-05 08:00:00,438156.28006742196,0.7693056803570459,564.1721755305201,0.06182792682605385
218,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-06,30564.593629444393,11908.24,11296.868412049487,13855.29834578947,8738.438478309505,2020-08-06 06:00:00,2020-08-06 06:30:00,10918.13,10284.58791681612,12753.384249105586,8330.766825951789,2020-08-06 08:00:00,2020-08-06 08:00:00,240814.47252492592,0.8803563326594569,427.8698741489029,0.04560844803326428
219,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-07,30572.942672852925,11880.64,11433.014008087106,13954.734435212982,8911.29358096123,2020-08-07 05:30:00,2020-08-07 06:00:00,10915.28,10887.553965923842,13313.886716446637,8461.221215401047,2020-08-07 09:30:00,2020-08-07 08:00:00,1585618.0111240342,0.29785923761807964,877.9974166598859,0.08292189295951063
