,rainfall,solar_exposure,min_temperature,max_temperature,peak_power
2010-12-14,0.0,25.5,19.3,24.3,10266.99
2010-12-15,0.0,28.9,18.5,27.2,10960.73
2010-12-16,0.0,13.1,18.1,24.2,10504.25
2010-12-17,14.4,13.7,17.7,26.0,9528.89
2010-12-18,0.0,9.0,16.6,25.3,8438.6
2010-12-19,0.0,16.2,14.8,26.6,8035.49
2010-12-20,5.0,29.1,14.1,21.3,8953.04
2010-12-21,0.0,33.8,11.5,27.0,9213.57
2010-12-22,0.0,29.7,12.7,23.1,9440.05
2010-12-23,0.0,26.0,15.8,30.9,10022.04
2010-12-24,0.0,17.1,15.8,22.7,8844.94
2010-12-25,0.0,32.2,13.6,27.7,7913.93
2010-12-26,2.2,13.0,18.7,30.5,8090.36
2010-12-27,14.4,6.0,15.1,19.3,7907.87
2010-12-28,1.2,16.1,14.7,20.6,7692.02
2010-12-29,0.0,32.5,15.7,25.7,9056.48
2010-12-30,0.0,32.2,16.8,27.5,9802.9
2010-12-31,0.0,31.8,18.8,29.3,10863.9
2011-01-01,0.0,32.8,18.0,34.1,10203.4
2011-01-02,0.0,25.6,19.2,26.9,9333.58
2011-01-03,2.2,5.8,17.9,21.2,8270.9
2011-01-04,3.8,10.6,17.3,21.2,9090.95
2011-01-05,0.0,20.4,14.0,24.4,9307.06
2011-01-06,0.0,26.9,18.4,24.8,9437.19
2011-01-07,0.0,18.2,17.5,26.9,9727.93
2011-01-08,4.6,26.9,19.6,27.6,9224.3
2011-01-09,6.4,20.2,21.6,27.4,8961.12
2011-01-10,7.8,16.6,21.6,25.7,10326.02
2011-01-11,0.4,5.4,21.7,25.5,10176.59
2011-01-12,8.0,21.0,22.5,28.6,10861.03
2011-01-13,0.0,20.4,22.9,27.3,10785.96
2011-01-14,0.0,22.3,21.5,28.7,10927.92
2011-01-15,1.0,14.7,21.9,30.8,10061.82
2011-01-16,0.0,24.3,21.8,29.2,10223.97
2011-01-17,0.0,30.2,19.1,30.6,11802.28
2011-01-18,0.0,19.3,19.4,25.9,10394.77
2011-01-19,0.0,16.3,19.4,26.1,10437.28
2011-01-20,0.0,26.3,18.4,28.0,10747.09
2011-01-21,0.0,30.5,19.4,28.9,11412.13
2011-01-22,0.0,30.8,17.8,29.6,9947.44
2011-01-23,0.0,26.2,20.1,30.3,9648.81
2011-01-24,0.0,15.9,19.3,34.6,11685.52
2011-01-25,0.0,27.8,22.1,31.2,12596.04
2011-01-26,0.0,21.8,20.7,32.7,11907.13
2011-01-27,0.0,24.0,22.7,30.4,12690.57
2011-01-28,0.0,14.4,20.7,25.6,10530.45
2011-01-29,0.0,23.0,16.1,25.9,9071.43
2011-01-30,0.0,30.5,14.8,30.0,10772.16
2011-01-31,0.0,29.8,19.4,35.7,13786.2
2011-02-01,0.0,29.8,20.5,40.6,14579.86
2011-02-02,0.0,27.7,25.6,32.2,14417.03
2011-02-03,0.0,17.4,24.4,36.7,14449.88
2011-02-04,0.0,23.1,23.0,33.1,13810.3
2011-02-05,0.0,26.5,23.6,40.7,13121.52
2011-02-06,0.0,7.9,16.7,32.6,11160.58
2011-02-07,0.2,11.7,16.6,22.7,9775.36
2011-02-08,0.0,13.5,17.9,23.9,9991.0
2011-02-09,0.0,14.0,15.4,25.2,10013.91
2011-02-10,0.0,17.2,16.6,26.9,10642.49
2011-02-11,0.0,21.4,18.2,34.6,12002.93
2011-02-12,1.2,3.2,19.2,23.2,9417.02
2011-02-13,15.2,4.6,19.3,22.4,8589.36
2011-02-14,0.0,7.9,19.3,23.0,9865.08
2011-02-15,0.4,12.9,15.2,25.1,9886.5
2011-02-16,0.8,12.6,18.8,26.8,10140.41
2011-02-17,0.0,17.9,20.4,31.0,11099.12
2011-02-18,0.0,11.5,22.0,27.0,10805.98
2011-02-19,0.0,20.9,21.3,34.2,11298.29
2011-02-20,0.0,18.5,22.4,32.0,11158.41
2011-02-21,0.0,18.0,19.3,24.3,10468.74
2011-02-22,0.0,16.3,16.8,21.4,9683.76
2011-02-23,0.0,17.3,15.9,24.3,9786.95
2011-02-24,0.0,27.0,13.3,27.6,10273.97
2011-02-25,0.0,20.2,14.5,28.2,10200.4
2011-02-26,0.0,25.4,18.4,29.6,9928.52
2011-02-27,0.0,9.4,18.0,30.1,9390.94
2011-02-28,0.8,14.6,21.7,26.8,11078.94
2011-03-01,0.2,10.4,19.5,33.6,11313.99
2011-03-02,0.0,5.2,18.0,21.7,9698.59
2011-03-03,0.2,23.8,15.5,30.4,10127.41
2011-03-04,0.0,24.8,15.7,28.0,10347.56
2011-03-05,0.0,11.4,17.4,21.1,8559.58
2011-03-06,0.4,19.8,14.8,21.2,8271.93
2011-03-07,0.0,15.7,12.7,25.5,9686.41
2011-03-08,0.0,24.1,13.6,27.8,10256.14
2011-03-09,0.0,12.6,18.2,30.3,10295.09
2011-03-10,0.0,11.2,20.2,29.2,10339.05
2011-03-11,0.0,11.1,20.9,24.9,10320.32
2011-03-12,0.2,18.0,20.1,29.1,9528.01
2011-03-13,0.0,21.8,18.8,31.2,9960.3
2011-03-14,0.0,6.8,19.7,26.7,10621.83
2011-03-15,0.0,10.4,17.9,25.3,10089.87
2011-03-16,0.6,17.4,17.6,27.3,10487.66
2011-03-17,3.8,12.0,19.0,24.8,10190.6
2011-03-18,0.0,9.7,19.6,23.6,10011.31
2011-03-19,2.2,5.6,19.0,22.7,9010.01
2011-03-20,54.4,12.6,18.6,23.6,8883.68
2011-03-21,13.8,4.6,20.5,25.6,10358.6
2011-03-22,11.4,18.8,19.9,30.0,11075.33
2011-03-23,8.8,19.4,19.0,30.4,10472.73
2011-03-24,0.0,19.4,14.5,25.9,9630.14
2011-03-25,0.0,17.9,14.9,25.2,9642.26
2011-03-26,0.2,9.3,16.6,20.4,8738.9
2011-03-27,0.0,11.3,16.1,20.3,8687.5
2011-03-28,2.0,9.6,13.2,22.3,9622.67
2011-03-29,0.2,15.1,14.6,25.5,9833.71
2011-03-30,0.0,15.6,15.0,29.4,10055.98
2011-03-31,2.2,2.9,16.9,20.7,9662.37
2011-04-01,0.4,14.7,14.3,23.7,9615.64
2011-04-02,0.2,12.5,13.9,21.2,8600.18
2011-04-03,0.0,19.4,12.0,23.5,8913.41
2011-04-04,0.0,17.6,14.1,22.1,9783.7
2011-04-05,8.2,11.9,15.1,20.4,9787.45
2011-04-06,3.6,13.6,14.1,21.4,9768.74
2011-04-07,0.4,17.4,13.0,22.0,9804.25
2011-04-08,0.0,15.6,12.0,22.3,9592.41
2011-04-09,0.0,18.8,12.0,26.4,9016.61
2011-04-10,0.0,7.4,12.3,26.4,9039.94
2011-04-11,8.4,13.2,10.1,21.3,10034.95
2011-04-12,0.0,15.4,7.3,21.1,9909.68
2011-04-13,0.0,14.7,10.4,23.6,9853.82
2011-04-14,0.0,17.6,9.7,23.2,9754.91
2011-04-15,0.0,13.4,10.7,21.3,9610.76
2011-04-16,12.0,4.4,15.1,18.3,9264.93
2011-04-17,18.0,12.2,11.6,21.4,9285.24
2011-04-18,0.0,16.8,9.5,22.5,10087.4
2011-04-19,0.0,14.1,11.0,24.0,10145.13
2011-04-20,0.0,6.5,10.6,20.7,9986.76
2011-04-21,0.0,16.1,11.6,25.2,9543.39
2011-04-22,0.0,15.1,11.3,25.2,8631.36
2011-04-23,0.4,5.2,12.1,17.7,9004.34
2011-04-24,0.0,12.2,11.8,22.0,8492.92
2011-04-25,6.8,4.5,15.4,19.2,8868.57
2011-04-26,6.2,6.4,14.4,20.3,9354.5
2011-04-27,4.2,9.8,14.1,18.7,10077.67
2011-04-28,10.6,7.2,14.1,19.2,10202.69
2011-04-29,11.4,8.8,12.0,19.9,10059.1
2011-04-30,9.2,5.6,15.3,20.1,9308.85
2011-05-01,6.4,13.0,11.4,21.3,9376.74
2011-05-02,0.0,5.5,9.8,18.5,10629.61
2011-05-03,0.4,4.0,11.7,18.6,10554.11
2011-05-04,0.0,12.9,12.1,20.1,10292.29
2011-05-05,0.0,12.8,10.8,18.2,10434.5
2011-05-06,0.0,13.5,7.8,18.5,10288.19
2011-05-07,0.0,13.6,7.8,20.3,9630.95
2011-05-08,0.0,13.6,5.8,21.5,9529.96
